"","CONST_ID","OBJECTID_1","OBJECTID","REGION","REGION_NUM","CONST","CONST_NUM","AREA","GAVPrimary","ID","ID1","Area1","ID2","Population","New_Consti","WHD","NorthCent","Shape_Leng","Shape_Le_1","Shape_STAr","Shape_STLe","const_merge","Head_Count"
"48",601,115,115,"Khomas","11","Tobias Hainyeko","02",18.5,95,95,95,0,61,45912,"0","1","0",17941.087288,17939.7406422,18507466.1157,17939.7406422,"601-tobiashainyeko",0.082971890766397
"49",602,15,15,"Khomas","11","Katutura Central","05",2,28,28,28,0,18,26904,"0","1","0",10177.7997977,10177.8017038,2534973.31881,10177.8017038,"602-katuturacentral",0.0541092959937767
"50",603,16,16,"Khomas","11","Katutura East","04",2.6,29,29,29,0,19,21564,"0","1","0",11550.7391792,11550.7411979,4355171.4688,11550.7411979,"603-katuturaeast",0.0540099789915966
"51",604,19,19,"Khomas","11","Khomasdal","07",26,32,32,32,0,22,35832,"0","1","0",31017.3479645,31017.258916,23518895.9436,31017.258916,"604-khomasdal",0.0317665693553909
"52",604,62,62,"!Karas","13","Orangemund","04",4623,107,107,107,0,71,98370,"0","0","0",533381.985331,533374.687037,4623138926.71,533374.687037,"604-orangemund",0.0317665693553909
"53",605,51,51,"Khomas","11","John Pandeni","06",1.9,92,92,92,0,58,21427,"0","1","0",13848.4711384,13848.4732139,3177862.61206,13848.4732139,"605-johnpandeni",0.37587044534413
"54",606,60,60,"Khomas","11","Samora Machel","01",19.2,103,103,103,0,69,50110,"0","1","0",23095.8713234,23094.9093833,20303066.3974,23094.9093833,"606-samoramachel",0.0540554383850557
"55",607,61,61,"Khomas","11","Windhoek East","09",167.1,104,104,104,0,70,25919,"0","1","0",70977.3113838,70657.3664867,218925885.893,70657.3664867,"607-windhoekeast",0.00333474756045821
"56",608,104,104,"Khomas","11","Windhoek Rural","10",36465.2,105,105,0,36485.2420785,120,19047,"0","0","0",1605364.02907,1605045.63477,36418138305.3,1605045.63477,"608-windhoekrural",0.027020202020202
"57",609,105,105,"Khomas","11","Windhoek West","08",208.6,106,106,106,0,121,534388,"0","1","0",75896.3003974,75898.7325572,208076798.28,75898.7325572,"609-windhoekwest",0.0053121157323689
"58",610,21,21,"Khomas","11","Moses ||Garoëb","03",32.6,40,40,40,0,25,41988,"0","1","0",33489.9270091,33496.876591,32374817.3658,33496.876591,"610-mosesgaroëb",0.0395905078859789
"59",701,9,9,"Kunene","01","Epupa","01",23430.3,13,13,13,0,11,17696,"0","0","0",779878.395417,779877.313309,23617365013.3,779877.313309,"701-epupa",0.420231811697575
"60",702,13,13,"Kunene","01","Kamanjab","06",17117,22,22,22,0,16,8441,"0","0","0",613588.60387,613588.601821,17130627537.3,613588.601821,"702-kamanjab",0.192835008375209
"61",703,20,20,"Kunene","01","Khorixas","05",21308.7,33,33,33,0,23,12566,"0","0","0",713154.091495,713154.088918,21328007379.7,713154.088918,"703-khorixas",0.170653490596111
"62",704,64,64,"Kunene","01","Opuwo Urban","02",25758.4,71,71,227,0,74,12421,"1","0","0",175997.68022,175624.281443,1738154155.03,175624.281443,"704-opuwourban",0.276886648915938
"63",704,66,66,"Kunene","01","Opuwo Rural","03",25758.4,71,71,235,0,76,14851,"1","0","0",715197.466628,715269.786845,21544905495.6,715269.786845,"704-opuworural",0.276886648915938
